id,repo_owner,repo_name,sha,raw_patch,label_combined_unique
GO-2020-0016,ulikunitz,xz,69c6093c7b2397b923acf82cb378f55ab2652b9b," var errOverflowU64 = errors.New(""xz: uvarint overflows 64-bit unsigned integer"")
 
 // readUvarint reads a uvarint from the given byte reader.
 func readUvarint(r io.ByteReader) (x uint64, n int, err error) {
+	const maxUvarintLen = 10
+
 	var s uint
 	i := 0
 	for {
",[True]
GO-2020-0016,ulikunitz,xz,69c6093c7b2397b923acf82cb378f55ab2652b9b," func readUvarint(r io.ByteReader) (x uint64, n int, err error) {
 			return x, i, err
 		}
 		i++
+		if i > maxUvarintLen {
+			return x, i, errOverflowU64
+		}
 		if b < 0x80 {
-			if i > 10 || i == 10 && b > 1 {
+			if i == maxUvarintLen && b > 1 {
 				return x, i, errOverflowU64
 			}
 			return x | uint64(b)<<s, i, nil
",[True]
GO-2022-1008,containers,buildah,4a8bf740e862f2438279c6feee2ea59ddf0cda0b," func (b *Builder) configureUIDGID(g *generate.Generator, mountPoint string, opti
 	}
 	g.SetProcessUID(user.UID)
 	g.SetProcessGID(user.GID)
+	g.AddProcessAdditionalGid(user.GID)
 	for _, gid := range user.AdditionalGids {
 		g.AddProcessAdditionalGid(gid)
 	}
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func New(config ...Config) fiber.Handler {
 			cookieToken := c.Cookies(cfg.CookieName)
 
 			if cookieToken != """" {
-				rawToken := getTokenFromStorage(c, cookieToken, cfg, sessionManager, storageManager)
+				raw := getRawFromStorage(c, cookieToken, cfg, sessionManager, storageManager)
 
-				if rawToken != nil {
-					token = string(rawToken)
+				if raw != nil {
+					token = cookieToken // Token is valid, safe to set it
 				}
 			}
 		default:
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func New(config ...Config) fiber.Handler {
 			// If not using CsrfFromCookie extractor, check that the token matches the cookie
 			// This is to prevent CSRF attacks by using a Double Submit Cookie method
 			// Useful when we do not have access to the users Session
-			if !isCsrfFromCookie(cfg.Extractor) && extractedToken != c.Cookies(cfg.CookieName) {
+			if !isCsrfFromCookie(cfg.Extractor) && !compareStrings(extractedToken, c.Cookies(cfg.CookieName)) {
 				return cfg.ErrorHandler(c, ErrTokenInvalid)
 			}
 
-			rawToken := getTokenFromStorage(c, extractedToken, cfg, sessionManager, storageManager)
+			raw := getRawFromStorage(c, extractedToken, cfg, sessionManager, storageManager)
 
-			if rawToken == nil {
+			if raw == nil {
 				// If token is not in storage, expire the cookie
 				expireCSRFCookie(c, cfg)
 				// and return an error
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func New(config ...Config) fiber.Handler {
 				// If token is single use, delete it from storage
 				deleteTokenFromStorage(c, extractedToken, cfg, sessionManager, storageManager)
 			} else {
-				token = string(rawToken)
+				token = extractedToken // Token is valid, safe to set it
 			}
 		}
 
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func refererMatchesHost(c *fiber.Ctx) error {
 	if referer == """" {
 		return ErrNoReferer
 	}
-	if referer != c.Protocol()+""://""+c.Hostname() {
+
+	refererURL, err := url.Parse(referer)
+	if err != nil {
 		return ErrBadReferer
 	}
+
+	if refererURL.Scheme+""://""+refererURL.Host != c.Protocol()+""://""+c.Hostname() {
+		return ErrBadReferer
+	}
+
 	return nil
 }
",[False]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func CsrfFromParam(param string) func(c *fiber.Ctx) (string, error) {
 	return func(c *fiber.Ctx) (string, error) {
 		token := c.Params(param)
 		if token == """" {
-			return """", errMissingParam
+			return """", ErrMissingParam
 		}
 		return token, nil
 	}
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func CsrfFromForm(param string) func(c *fiber.Ctx) (string, error) {
 	return func(c *fiber.Ctx) (string, error) {
 		token := c.FormValue(param)
 		if token == """" {
-			return """", errMissingForm
+			return """", ErrMissingForm
 		}
 		return token, nil
 	}
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func CsrfFromCookie(param string) func(c *fiber.Ctx) (string, error) {
 	return func(c *fiber.Ctx) (string, error) {
 		token := c.Cookies(param)
 		if token == """" {
-			return """", errMissingCookie
+			return """", ErrMissingCookie
 		}
 		return token, nil
 	}
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func CsrfFromHeader(param string) func(c *fiber.Ctx) (string, error) {
 	return func(c *fiber.Ctx) (string, error) {
 		token := c.Get(param)
 		if token == """" {
-			return """", errMissingHeader
+			return """", ErrMissingHeader
 		}
 		return token, nil
 	}
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," func CsrfFromQuery(param string) func(c *fiber.Ctx) (string, error) {
 	return func(c *fiber.Ctx) (string, error) {
 		token := c.Query(param)
 		if token == """" {
-			return """", errMissingQuery
+			return """", ErrMissingQuery
 		}
 		return token, nil
 	}
",[True]
GO-2023-2116,gofiber,fiber,8c3916dbf4ad2ed427d02c6eb63ae8b2fa8f019a," import (
 func compareTokens(a, b []byte) bool {
 	return subtle.ConstantTimeCompare(a, b) == 1
 }
+
+func compareStrings(a, b string) bool {
+	return subtle.ConstantTimeCompare([]byte(a), []byte(b)) == 1
+}
",[False]
GO-2023-2116,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," func configDefault(config ...Config) Config {
 	if cfg.ErrorHandler == nil {
 		cfg.ErrorHandler = ConfigDefault.ErrorHandler
 	}
+	if cfg.SessionKey == """" {
+		cfg.SessionKey = ConfigDefault.SessionKey
+	}
+	if cfg.HandlerContextKey == """" {
+		cfg.HandlerContextKey = ConfigDefault.HandlerContextKey
+	}
 
 	// Generate the correct extractor to get the token from the correct location
 	selectors := strings.Split(cfg.KeyLookup, "":"")
",[True]
GO-2023-2116,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," func configDefault(config ...Config) Config {
 		case ""param"":
 			cfg.Extractor = CsrfFromParam(selectors[1])
 		case ""cookie"":
+			if cfg.Session == nil {
+				log.Warn(""[CSRF] Cookie extractor is not recommended without a session store"")
+			}
+			if cfg.CookieSameSite == ""None"" || cfg.CookieSameSite != ""Lax"" && cfg.CookieSameSite != ""Strict"" {
+				log.Warn(""[CSRF] Cookie extractor is only recommended for use with SameSite=Lax or SameSite=Strict"")
+			}
 			cfg.Extractor = CsrfFromCookie(selectors[1])
+			cfg.CookieName = selectors[1] // Cookie name is the same as the key
 		}
 	}
 
",[True]
GO-2023-2116,gofiber,fiber,b50d91d58ecdff2a330bf07950244b6c4caf65b1," package csrf
 
 import (
 	""errors""
+	""reflect""
 	""time""
 
 	""github.com/gofiber/fiber/v2""
 )
 
-var errTokenNotFound = errors.New(""csrf token not found"")
+var (
+	ErrTokenNotFound = errors.New(""csrf token not found"")
+	ErrTokenInvalid  = errors.New(""csrf token invalid"")
+	ErrNoReferer     = errors.New(""referer not supplied"")
+	ErrBadReferer    = errors.New(""referer invalid"")
+	dummyValue       = []byte{'+'}
+)
+
+type CSRFHandler struct {
+	config         *Config
+	sessionManager *sessionManager
+	storageManager *storageManager
+}
 
 // New creates a new middleware handler
 func New(config ...Config) fiber.Handler {
 	// Set default config
 	cfg := configDefault(config...)
 
-	// Create manager to simplify storage operations ( see manager.go )
-	manager := newManager(cfg.Storage)
+	// Create manager to simplify storage operations ( see *_manager.go )
+	var sessionManager *sessionManager
+	var storageManager *storageManager
+	if cfg.Session != nil {
+		// Register the Token struct in the session store
+		cfg.Session.RegisterType(Token{})
 
-	dummyValue := []byte{'+'}
+		sessionManager = newSessionManager(cfg.Session, cfg.SessionKey)
+	} else {
+		storageManager = newStorageManager(cfg.Storage)
+	}
 
 	// Return new handler
 	return func(c *fiber.Ctx) error {
",[True]
